Date,CPI_All_Items,CPI_Core,CPI_Rent,CPI_Food,CPI_Energy,Interest_Rate_Federal_Funds,Interest_Rate_10Y_Treasury,Real_Disposable_Income,Real_Wages_All,Real_Wages_Private,Credit_Card_Delinquency,Unemployment_Rate,Employment_Total_Nonfarm,Labor_Force_Participation,Initial_Claims,PCE_Inflation,Core_PCE_Inflation,GDP_Real,Consumer_Sentiment,Housing_Starts,S&P_500,Wage_Growth
2018-11-13,,,,,,,,,,,,,,,,,,,,,2722.18,
2018-11-14,,,,,,,,,,,,,,,,,,,,,2701.58,
2018-11-15,,,,,,,,,,,,,,,,,,,,,2730.2,
2018-11-16,,,,,,,,,,,,,,,,,,,,,2736.27,
2018-11-17,,,,,,,,,,,,,,,220000.0,,,,,,,
2018-11-19,,,,,,,,,,,,,,,,,,,,,2690.73,
2018-11-20,,,,,,,,,,,,,,,,,,,,,2641.89,
2018-11-21,,,,,,,,,,,,,,,,,,,,,2649.93,
2018-11-22,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,,,,,,,,,,,,,,,,,,,,,2632.56,
2018-11-24,,,,,,,,,,,,,,,225250.0,,,,,,,
2018-11-26,,,,,,,,,,,,,,,,,,,,,2673.45,
2018-11-27,,,,,,,,,,,,,,,,,,,,,2682.17,
2018-11-28,,,,,,,,,,,,,,,,,,,,,2743.79,
2018-11-29,,,,,,,,,,,,,,,,,,,,,2737.76,
2018-11-30,,,,,,,,,,,,,,,,,,,,,2760.17,
2018-12-01,252.767,260.063,312.132,,136.7,2.27,2.83,15506.5,1053.0,27.56,,3.9,149809.0,63.0,228750.0,102.701,102.735,,98.3,1095.0,,23.11
2018-12-03,,,,,,,,,,,,,,,,,,,,,2790.37,
2018-12-04,,,,,,,,,,,,,,,,,,,,,2700.06,
2018-12-05,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,,,,,,,2695.95,
2018-12-07,,,,,,,,,,,,,,,,,,,,,2633.08,
2018-12-08,,,,,,,,,,,,,,,225500.0,,,,,,,
2018-12-10,,,,,,,,,,,,,,,,,,,,,2637.72,
2018-12-11,,,,,,,,,,,,,,,,,,,,,2636.78,
2018-12-12,,,,,,,,,,,,,,,,,,,,,2651.07,
2018-12-13,,,,,,,,,,,,,,,,,,,,,2650.54,
2018-12-14,,,,,,,,,,,,,,,,,,,,,2599.95,
2018-12-15,,,,,,,,,,,,,,,223500.0,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,,,,,,2545.94,
2018-12-18,,,,,,,,,,,,,,,,,,,,,2546.16,
2018-12-19,,,,,,,,,,,,,,,,,,,,,2506.96,
2018-12-20,,,,,,,,,,,,,,,,,,,,,2467.42,
2018-12-21,,,,,,,,,,,,,,,,,,,,,2416.62,
2018-12-22,,,,,,,,,,,,,,,221250.0,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,,,,,,2351.1,
2018-12-25,,,,,,,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,,,,,,2467.7,
2018-12-27,,,,,,,,,,,,,,,,,,,,,2488.83,
2018-12-28,,,,,,,,,,,,,,,,,,,,,2485.74,
2018-12-29,,,,,,,,,,,,,,,222750.0,,,,,,,
2018-12-31,,,,,,,,,,,,,,,,,,,,,2506.85,
2019-01-01,252.561,260.766,312.998,3735.845,141.5,2.4,2.71,15536.3,1247.0,27.59,2.54,4.0,150060.0,63.1,,102.648,102.87,20431.641,91.2,1226.0,,23.13
2019-01-02,,,,,,,,,,,,,,,,,,,,,2510.03,
2019-01-03,,,,,,,,,,,,,,,,,,,,,2447.89,
2019-01-04,,,,,,,,,,,,,,,,,,,,,2531.94,
2019-01-05,,,,,,,,,,,,,,,227000.0,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,2549.69,
2019-01-08,,,,,,,,,,,,,,,,,,,,,2574.41,
2019-01-09,,,,,,,,,,,,,,,,,,,,,2584.96,
2019-01-10,,,,,,,,,,,,,,,,,,,,,2596.64,
2019-01-11,,,,,,,,,,,,,,,,,,,,,2596.26,
2019-01-12,,,,,,,,,,,,,,,227250.0,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,,,2582.61,
2019-01-15,,,,,,,,,,,,,,,,,,,,,2610.3,
2019-01-16,,,,,,,,,,,,,,,,,,,,,2616.1,
2019-01-17,,,,,,,,,,,,,,,,,,,,,2635.96,
2019-01-18,,,,,,,,,,,,,,,,,,,,,2670.71,
2019-01-19,,,,,,,,,,,,,,,223750.0,,,,,,,
2019-01-21,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,2632.9,
2019-01-23,,,,,,,,,,,,,,,,,,,,,2638.7,
2019-01-24,,,,,,,,,,,,,,,,,,,,,2642.33,
2019-01-25,,,,,,,,,,,,,,,,,,,,,2664.76,
2019-01-26,,,,,,,,,,,,,,,222750.0,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,,,,,,2643.85,
2019-01-29,,,,,,,,,,,,,,,,,,,,,2640.0,
2019-01-30,,,,,,,,,,,,,,,,,,,,,2681.05,
2019-01-31,,,,,,,,,,,,,,,,,,,,,2704.1,
2019-02-01,253.319,261.186,314.072,,150.6,2.4,2.68,15560.4,1304.0,27.69,,3.8,150067.0,63.1,,102.836,102.963,,93.8,1121.0,2706.53,23.19
2019-02-02,,,,,,,,,,,,,,,224500.0,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,,,2724.87,
2019-02-05,,,,,,,,,,,,,,,,,,,,,2737.7,
2019-02-06,,,,,,,,,,,,,,,,,,,,,2731.61,
2019-02-07,,,,,,,,,,,,,,,,,,,,,2706.05,
2019-02-08,,,,,,,,,,,,,,,,,,,,,2707.88,
2019-02-09,,,,,,,,,,,,,,,226500.0,,,,,,,
2019-02-11,,,,,,,,,,,,,,,,,,,,,2709.8,
2019-02-12,,,,,,,,,,,,,,,,,,,,,2744.73,
2019-02-13,,,,,,,,,,,,,,,,,,,,,2753.03,
2019-02-14,,,,,,,,,,,,,,,,,,,,,2745.73,
2019-02-15,,,,,,,,,,,,,,,,,,,,,2775.6,
2019-02-16,,,,,,,,,,,,,,,225750.0,,,,,,,
2019-02-18,,,,,,,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,,,,,,2779.76,
2019-02-20,,,,,,,,,,,,,,,,,,,,,2784.7,
2019-02-21,,,,,,,,,,,,,,,,,,,,,2774.88,
2019-02-22,,,,,,,,,,,,,,,,,,,,,2792.67,
2019-02-23,,,,,,,,,,,,,,,222500.0,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,,,,,,2796.11,
2019-02-26,,,,,,,,,,,,,,,,,,,,,2793.9,
2019-02-27,,,,,,,,,,,,,,,,,,,,,2792.38,
2019-02-28,,,,,,,,,,,,,,,,,,,,,2784.49,
2019-03-01,254.277,261.567,315.051,,158.9,2.41,2.57,15566.5,1313.0,27.77,,3.8,150295.0,63.0,,103.069,103.058,,98.4,1191.0,2803.69,23.29
2019-03-02,,,,,,,,,,,,,,,218500.0,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,,,,,,2792.81,
2019-03-05,,,,,,,,,,,,,,,,,,,,,2789.65,
2019-03-06,,,,,,,,,,,,,,,,,,,,,2771.45,
2019-03-07,,,,,,,,,,,,,,,,,,,,,2748.93,
2019-03-08,,,,,,,,,,,,,,,,,,,,,2743.07,
2019-03-09,,,,,,,,,,,,,,,216500.0,,,,,,,
2019-03-11,,,,,,,,,,,,,,,,,,,,,2783.3,
2019-03-12,,,,,,,,,,,,,,,,,,,,,2791.52,
2019-03-13,,,,,,,,,,,,,,,,,,,,,2810.92,
2019-03-14,,,,,,,,,,,,,,,,,,,,,2808.48,
2019-03-15,,,,,,,,,,,,,,,,,,,,,2822.48,
2019-03-16,,,,,,,,,,,,,,,216750.0,,,,,,,
2019-03-18,,,,,,,,,,,,,,,,,,,,,2832.94,
2019-03-19,,,,,,,,,,,,,,,,,,,,,2832.57,
2019-03-20,,,,,,,,,,,,,,,,,,,,,2824.23,
2019-03-21,,,,,,,,,,,,,,,,,,,,,2854.88,
2019-03-22,,,,,,,,,,,,,,,,,,,,,2800.71,
2019-03-23,,,,,,,,,,,,,,,214000.0,,,,,,,
2019-03-25,,,,,,,,,,,,,,,,,,,,,2798.36,
2019-03-26,,,,,,,,,,,,,,,,,,,,,2818.46,
2019-03-27,,,,,,,,,,,,,,,,,,,,,2805.37,
2019-03-28,,,,,,,,,,,,,,,,,,,,,2815.44,
2019-03-29,,,,,,,,,,,,,,,,,,,,,2834.4,
2019-03-30,,,,,,,,,,,,,,,210750.0,,,,,,,
2019-04-01,255.233,261.997,316.172,3820.789,176.7,2.42,2.53,15534.2,1308.0,27.79,2.59,3.7,150591.0,62.8,,103.36,103.265,20602.275,97.2,1272.0,2867.19,23.33
2019-04-02,,,,,,,,,,,,,,,,,,,,,2867.24,
2019-04-03,,,,,,,,,,,,,,,,,,,,,2873.4,
2019-04-04,,,,,,,,,,,,,,,,,,,,,2879.39,
2019-04-05,,,,,,,,,,,,,,,,,,,,,2892.74,
2019-04-06,,,,,,,,,,,,,,,205250.0,,,,,,,
2019-04-08,,,,,,,,,,,,,,,,,,,,,2895.77,
2019-04-09,,,,,,,,,,,,,,,,,,,,,2878.2,
2019-04-10,,,,,,,,,,,,,,,,,,,,,2888.21,
2019-04-11,,,,,,,,,,,,,,,,,,,,,2888.32,
2019-04-12,,,,,,,,,,,,,,,,,,,,,2907.41,
2019-04-13,,,,,,,,,,,,,,,201500.0,,,,,,,
2019-04-15,,,,,,,,,,,,,,,,,,,,,2905.58,
2019-04-16,,,,,,,,,,,,,,,,,,,,,2907.06,
2019-04-17,,,,,,,,,,,,,,,,,,,,,2900.45,
2019-04-18,,,,,,,,,,,,,,,,,,,,,2905.03,
2019-04-19,,,,,,,,,,,,,,,,,,,,,,
2019-04-20,,,,,,,,,,,,,,,204500.0,,,,,,,
2019-04-22,,,,,,,,,,,,,,,,,,,,,2907.97,
2019-04-23,,,,,,,,,,,,,,,,,,,,,2933.68,
2019-04-24,,,,,,,,,,,,,,,,,,,,,2927.25,
2019-04-25,,,,,,,,,,,,,,,,,,,,,2926.17,
2019-04-26,,,,,,,,,,,,,,,,,,,,,2939.88,
2019-04-27,,,,,,,,,,,,,,,209750.0,,,,,,,
2019-04-29,,,,,,,,,,,,,,,,,,,,,2943.03,
2019-04-30,,,,,,,,,,,,,,,,,,,,,2945.83,
2019-05-01,255.296,262.217,317.03,,171.0,2.39,2.4,15532.4,1221.0,27.88,,3.6,150618.0,62.9,,103.435,103.371,,100.0,1293.0,2923.73,23.4
2019-05-02,,,,,,,,,,,,,,,,,,,,,2917.52,
2019-05-03,,,,,,,,,,,,,,,,,,,,,2945.64,
2019-05-04,,,,,,,,,,,,,,,217000.0,,,,,,,
2019-05-06,,,,,,,,,,,,,,,,,,,,,2932.47,
2019-05-07,,,,,,,,,,,,,,,,,,,,,2884.05,
2019-05-08,,,,,,,,,,,,,,,,,,,,,2879.42,
2019-05-09,,,,,,,,,,,,,,,,,,,,,2870.72,
2019-05-10,,,,,,,,,,,,,,,,,,,,,2881.4,
2019-05-11,,,,,,,,,,,,,,,220750.0,,,,,,,
2019-05-13,,,,,,,,,,,,,,,,,,,,,2811.87,
2019-05-14,,,,,,,,,,,,,,,,,,,,,2834.41,
2019-05-15,,,,,,,,,,,,,,,,,,,,,2850.96,
2019-05-16,,,,,,,,,,,,,,,,,,,,,2876.32,
2019-05-17,,,,,,,,,,,,,,,,,,,,,2859.53,
2019-05-18,,,,,,,,,,,,,,,219000.0,,,,,,,
2019-05-20,,,,,,,,,,,,,,,,,,,,,2840.23,
2019-05-21,,,,,,,,,,,,,,,,,,,,,2864.36,
2019-05-22,,,,,,,,,,,,,,,,,,,,,2856.27,
2019-05-23,,,,,,,,,,,,,,,,,,,,,2822.24,
2019-05-24,,,,,,,,,,,,,,,,,,,,,2826.06,
2019-05-25,,,,,,,,,,,,,,,218500.0,,,,,,,
2019-05-27,,,,,,,,,,,,,,,,,,,,,,
2019-05-28,,,,,,,,,,,,,,,,,,,,,2802.39,
2019-05-29,,,,,,,,,,,,,,,,,,,,,2783.02,
2019-05-30,,,,,,,,,,,,,,,,,,,,,2788.86,
2019-05-31,,,,,,,,,,,,,,,,,,,,,2752.06,
2019-06-01,255.213,262.739,317.949,,153.4,2.38,2.07,15562.1,1178.0,27.97,,3.6,150838.0,63.0,218000.0,103.484,103.56,,98.2,1243.0,,23.48
2019-06-03,,,,,,,,,,,,,,,,,,,,,2744.45,
2019-06-04,,,,,,,,,,,,,,,,,,,,,2803.27,
2019-06-05,,,,,,,,,,,,,,,,,,,,,2826.15,
2019-06-06,,,,,,,,,,,,,,,,,,,,,2843.49,
2019-06-07,,,,,,,,,,,,,,,,,,,,,2873.34,
2019-06-08,,,,,,,,,,,,,,,221500.0,,,,,,,
2019-06-10,,,,,,,,,,,,,,,,,,,,,2886.73,
2019-06-11,,,,,,,,,,,,,,,,,,,,,2885.72,
2019-06-12,,,,,,,,,,,,,,,,,,,,,2879.84,
2019-06-13,,,,,,,,,,,,,,,,,,,,,2891.64,
2019-06-14,,,,,,,,,,,,,,,,,,,,,2886.98,
2019-06-15,,,,,,,,,,,,,,,222000.0,,,,,,,
2019-06-17,,,,,,,,,,,,,,,,,,,,,2889.67,
2019-06-18,,,,,,,,,,,,,,,,,,,,,2917.75,
2019-06-19,,,,,,,,,,,,,,,,,,,,,2926.46,
2019-06-20,,,,,,,,,,,,,,,,,,,,,2954.18,
2019-06-21,,,,,,,,,,,,,,,,,,,,,2950.46,
2019-06-22,,,,,,,,,,,,,,,225000.0,,,,,,,
2019-06-24,,,,,,,,,,,,,,,,,,,,,2945.35,
2019-06-25,,,,,,,,,,,,,,,,,,,,,2917.38,
2019-06-26,,,,,,,,,,,,,,,,,,,,,2913.78,
2019-06-27,,,,,,,,,,,,,,,,,,,,,2924.92,
2019-06-28,,,,,,,,,,,,,,,,,,,,,2941.76,
2019-06-29,,,,,,,,,,,,,,,225750.0,,,,,,,
2019-07-01,255.802,263.28,318.777,3869.365,162.3,2.4,2.06,15581.4,1215.0,28.03,2.6,3.7,150937.0,63.1,,103.622,103.678,20843.322,98.4,1240.0,2964.33,23.53
2019-07-02,,,,,,,,,,,,,,,,,,,,,2973.01,
2019-07-03,,,,,,,,,,,,,,,,,,,,,2995.82,
2019-07-04,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,,,,,,2990.41,
2019-07-06,,,,,,,,,,,,,,,223000.0,,,,,,,
2019-07-08,,,,,,,,,,,,,,,,,,,,,2975.95,
2019-07-09,,,,,,,,,,,,,,,,,,,,,2979.63,
2019-07-10,,,,,,,,,,,,,,,,,,,,,2993.07,
2019-07-11,,,,,,,,,,,,,,,,,,,,,2999.91,
2019-07-12,,,,,,,,,,,,,,,,,,,,,3013.77,
2019-07-13,,,,,,,,,,,,,,,221500.0,,,,,,,
2019-07-15,,,,,,,,,,,,,,,,,,,,,3014.3,
2019-07-16,,,,,,,,,,,,,,,,,,,,,3004.04,
2019-07-17,,,,,,,,,,,,,,,,,,,,,2984.42,
2019-07-18,,,,,,,,,,,,,,,,,,,,,2995.11,
2019-07-19,,,,,,,,,,,,,,,,,,,,,2976.61,
2019-07-20,,,,,,,,,,,,,,,213500.0,,,,,,,
2019-07-22,,,,,,,,,,,,,,,,,,,,,2985.03,
2019-07-23,,,,,,,,,,,,,,,,,,,,,3005.47,
2019-07-24,,,,,,,,,,,,,,,,,,,,,3019.56,
2019-07-25,,,,,,,,,,,,,,,,,,,,,3003.67,
2019-07-26,,,,,,,,,,,,,,,,,,,,,3025.86,
2019-07-27,,,,,,,,,,,,,,,208500.0,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,,,,,,3020.97,
2019-07-30,,,,,,,,,,,,,,,,,,,,,3013.18,
2019-07-31,,,,,,,,,,,,,,,,,,,,,2980.38,
2019-08-01,256.036,263.877,319.37,,156.9,2.13,1.63,15664.3,1313.0,28.14,,3.6,151169.0,63.1,,103.67,103.797,,89.8,1375.0,2953.56,23.61
2019-08-02,,,,,,,,,,,,,,,,,,,,,2932.05,
2019-08-03,,,,,,,,,,,,,,,206750.0,,,,,,,
2019-08-05,,,,,,,,,,,,,,,,,,,,,2844.74,
2019-08-06,,,,,,,,,,,,,,,,,,,,,2881.77,
2019-08-07,,,,,,,,,,,,,,,,,,,,,2883.98,
2019-08-08,,,,,,,,,,,,,,,,,,,,,2938.09,
2019-08-09,,,,,,,,,,,,,,,,,,,,,2918.65,
2019-08-10,,,,,,,,,,,,,,,207000.0,,,,,,,
2019-08-12,,,,,,,,,,,,,,,,,,,,,2883.75,
2019-08-13,,,,,,,,,,,,,,,,,,,,,2926.32,
2019-08-14,,,,,,,,,,,,,,,,,,,,,2840.6,
2019-08-15,,,,,,,,,,,,,,,,,,,,,2847.6,
2019-08-16,,,,,,,,,,,,,,,,,,,,,2888.68,
2019-08-17,,,,,,,,,,,,,,,208250.0,,,,,,,
2019-08-19,,,,,,,,,,,,,,,,,,,,,2923.65,
2019-08-20,,,,,,,,,,,,,,,,,,,,,2900.51,
2019-08-21,,,,,,,,,,,,,,,,,,,,,2924.43,
2019-08-22,,,,,,,,,,,,,,,,,,,,,2922.95,
2019-08-23,,,,,,,,,,,,,,,,,,,,,2847.11,
2019-08-24,,,,,,,,,,,,,,,210000.0,,,,,,,
2019-08-26,,,,,,,,,,,,,,,,,,,,,2878.38,
2019-08-27,,,,,,,,,,,,,,,,,,,,,2869.16,
2019-08-28,,,,,,,,,,,,,,,,,,,,,2887.94,
2019-08-29,,,,,,,,,,,,,,,,,,,,,2924.58,
2019-08-30,,,,,,,,,,,,,,,,,,,,,2926.46,
2019-08-31,,,,,,,,,,,,,,,211750.0,,,,,,,
2019-09-01,256.43,264.388,320.436,,156.2,2.04,1.7,15697.5,1154.0,28.16,,3.5,151365.0,63.2,,103.733,103.873,,93.2,1311.0,,23.68
2019-09-02,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,,,,,,,,,,,,,,,,,,,,,2906.27,
2019-09-04,,,,,,,,,,,,,,,,,,,,,2937.78,
2019-09-05,,,,,,,,,,,,,,,,,,,,,2976.0,
2019-09-06,,,,,,,,,,,,,,,,,,,,,2978.71,
2019-09-07,,,,,,,,,,,,,,,210500.0,,,,,,,
2019-09-09,,,,,,,,,,,,,,,,,,,,,2978.43,
2019-09-10,,,,,,,,,,,,,,,,,,,,,2979.39,
2019-09-11,,,,,,,,,,,,,,,,,,,,,3000.93,
2019-09-12,,,,,,,,,,,,,,,,,,,,,3009.57,
2019-09-13,,,,,,,,,,,,,,,,,,,,,3007.39,
2019-09-14,,,,,,,,,,,,,,,210000.0,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,,,2997.96,
2019-09-17,,,,,,,,,,,,,,,,,,,,,3005.7,
2019-09-18,,,,,,,,,,,,,,,,,,,,,3006.73,
2019-09-19,,,,,,,,,,,,,,,,,,,,,3006.79,
2019-09-20,,,,,,,,,,,,,,,,,,,,,2992.07,
2019-09-21,,,,,,,,,,,,,,,209500.0,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,,,2991.78,
2019-09-24,,,,,,,,,,,,,,,,,,,,,2966.6,
2019-09-25,,,,,,,,,,,,,,,,,,,,,2984.87,
2019-09-26,,,,,,,,,,,,,,,,,,,,,2977.62,
2019-09-27,,,,,,,,,,,,,,,,,,,,,2961.79,
2019-09-28,,,,,,,,,,,,,,,209500.0,,,,,,,
2019-09-30,,,,,,,,,,,,,,,,,,,,,2976.74,
2019-10-01,257.155,264.97,320.862,3857.115,146.1,1.83,1.71,15718.1,1289.0,28.24,2.61,3.6,151460.0,63.3,,103.917,104.028,20985.448,95.5,1325.0,2940.25,23.75
2019-10-02,,,,,,,,,,,,,,,,,,,,,2887.61,
2019-10-03,,,,,,,,,,,,,,,,,,,,,2910.63,
2019-10-04,,,,,,,,,,,,,,,,,,,,,2952.01,
2019-10-05,,,,,,,,,,,,,,,210000.0,,,,,,,
2019-10-07,,,,,,,,,,,,,,,,,,,,,2938.79,
2019-10-08,,,,,,,,,,,,,,,,,,,,,2893.06,
2019-10-09,,,,,,,,,,,,,,,,,,,,,2919.4,
2019-10-10,,,,,,,,,,,,,,,,,,,,,2938.13,
2019-10-11,,,,,,,,,,,,,,,,,,,,,2970.27,
2019-10-12,,,,,,,,,,,,,,,212500.0,,,,,,,
2019-10-14,,,,,,,,,,,,,,,,,,,,,2966.15,
2019-10-15,,,,,,,,,,,,,,,,,,,,,2995.68,
2019-10-16,,,,,,,,,,,,,,,,,,,,,2989.69,
2019-10-17,,,,,,,,,,,,,,,,,,,,,2997.95,
2019-10-18,,,,,,,,,,,,,,,,,,,,,2986.2,
2019-10-19,,,,,,,,,,,,,,,212250.0,,,,,,,
2019-10-21,,,,,,,,,,,,,,,,,,,,,3006.72,
2019-10-22,,,,,,,,,,,,,,,,,,,,,2995.99,
2019-10-23,,,,,,,,,,,,,,,,,,,,,3004.52,
2019-10-24,,,,,,,,,,,,,,,,,,,,,3010.29,
2019-10-25,,,,,,,,,,,,,,,,,,,,,3022.55,
2019-10-26,,,,,,,,,,,,,,,212250.0,,,,,,,
2019-10-28,,,,,,,,,,,,,,,,,,,,,3039.42,
2019-10-29,,,,,,,,,,,,,,,,,,,,,3036.89,
2019-10-30,,,,,,,,,,,,,,,,,,,,,3046.77,
2019-10-31,,,,,,,,,,,,,,,,,,,,,3037.56,
2019-11-01,257.879,265.548,321.611,,155.9,1.55,1.81,15766.9,1266.0,28.34,,3.6,151667.0,63.3,,104.024,104.092,,96.8,1353.0,3066.91,23.83
2019-11-02,,,,,,,,,,,,,,,213500.0,,,,,,,
2019-11-04,,,,,,,,,,,,,,,,,,,,,3078.27,
2019-11-05,,,,,,,,,,,,,,,,,,,,,3074.62,
2019-11-06,,,,,,,,,,,,,,,,,,,,,3076.78,
2019-11-07,,,,,,,,,,,,,,,,,,,,,3085.18,
2019-11-08,,,,,,,,,,,,,,,,,,,,,3093.08,
2019-11-09,,,,,,,,,,,,,,,216500.0,,,,,,,
2019-11-11,,,,,,,,,,,,,,,,,,,,,3087.01,
2019-11-12,,,,,,,,,,,,,,,,,,,,,3091.84,
2019-11-13,,,,,,,,,,,,,,,,,,,,,3094.04,
2019-11-14,,,,,,,,,,,,,,,,,,,,,3096.63,
2019-11-15,,,,,,,,,,,,,,,,,,,,,3120.46,
2019-11-16,,,,,,,,,,,,,,,221250.0,,,,,,,
2019-11-18,,,,,,,,,,,,,,,,,,,,,3122.03,
2019-11-19,,,,,,,,,,,,,,,,,,,,,3120.18,
2019-11-20,,,,,,,,,,,,,,,,,,,,,3108.46,
2019-11-21,,,,,,,,,,,,,,,,,,,,,3103.54,
2019-11-22,,,,,,,,,,,,,,,,,,,,,3110.29,
2019-11-23,,,,,,,,,,,,,,,222750.0,,,,,,,
2019-11-25,,,,,,,,,,,,,,,,,,,,,3133.64,
2019-11-26,,,,,,,,,,,,,,,,,,,,,3140.52,
2019-11-27,,,,,,,,,,,,,,,,,,,,,3153.63,
2019-11-28,,,,,,,,,,,,,,,,,,,,,,
2019-11-29,,,,,,,,,,,,,,,,,,,,,3140.98,
2019-11-30,,,,,,,,,,,,,,,227000.0,,,,,,,
2019-12-01,258.63,266.02,322.247,,162.8,1.55,1.86,15683.8,1308.0,28.38,,3.6,151794.0,63.3,,104.307,104.322,,99.3,1548.0,,23.85
2019-12-02,,,,,,,,,,,,,,,,,,,,,3113.87,
2019-12-03,,,,,,,,,,,,,,,,,,,,,3093.2,
2019-12-04,,,,,,,,,,,,,,,,,,,,,3112.76,
2019-12-05,,,,,,,,,,,,,,,,,,,,,3117.43,
2019-12-06,,,,,,,,,,,,,,,,,,,,,3145.91,
2019-12-07,,,,,,,,,,,,,,,232000.0,,,,,,,
2019-12-09,,,,,,,,,,,,,,,,,,,,,3135.96,
2019-12-10,,,,,,,,,,,,,,,,,,,,,3132.52,
2019-12-11,,,,,,,,,,,,,,,,,,,,,3141.63,
2019-12-12,,,,,,,,,,,,,,,,,,,,,3168.57,
2019-12-13,,,,,,,,,,,,,,,,,,,,,3168.8,
2019-12-14,,,,,,,,,,,,,,,233750.0,,,,,,,
2019-12-16,,,,,,,,,,,,,,,,,,,,,3191.45,
2019-12-17,,,,,,,,,,,,,,,,,,,,,3192.52,
2019-12-18,,,,,,,,,,,,,,,,,,,,,3191.14,
2019-12-19,,,,,,,,,,,,,,,,,,,,,3205.37,
2019-12-20,,,,,,,,,,,,,,,,,,,,,3221.22,
2019-12-21,,,,,,,,,,,,,,,236000.0,,,,,,,
2019-12-23,,,,,,,,,,,,,,,,,,,,,3224.01,
2019-12-24,,,,,,,,,,,,,,,,,,,,,3223.38,
2019-12-25,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,,,,,,,,,,,,,,,,,,,,,3239.91,
2019-12-27,,,,,,,,,,,,,,,,,,,,,3240.02,
2019-12-28,,,,,,,,,,,,,,,236000.0,,,,,,,
2019-12-30,,,,,,,,,,,,,,,,,,,,,3221.29,
2019-12-31,,,,,,,,,,,,,,,,,,,,,3230.78,
2020-01-01,259.127,266.716,323.487,3842.806,158.7,1.55,1.76,15842.8,1308.0,28.43,2.69,3.6,152031.0,63.3,,104.49,104.507,20709.212,99.8,1581.0,,23.91
2020-01-02,,,,,,,,,,,,,,,,,,,,,3257.85,
2020-01-03,,,,,,,,,,,,,,,,,,,,,3234.85,
2020-01-04,,,,,,,,,,,,,,,226750.0,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,,,3246.28,
2020-01-07,,,,,,,,,,,,,,,,,,,,,3237.18,
2020-01-08,,,,,,,,,,,,,,,,,,,,,3253.05,
2020-01-09,,,,,,,,,,,,,,,,,,,,,3274.7,
2020-01-10,,,,,,,,,,,,,,,,,,,,,3265.35,
2020-01-11,,,,,,,,,,,,,,,224250.0,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,3288.13,
2020-01-14,,,,,,,,,,,,,,,,,,,,,3283.15,
2020-01-15,,,,,,,,,,,,,,,,,,,,,3289.29,
2020-01-16,,,,,,,,,,,,,,,,,,,,,3316.81,
2020-01-17,,,,,,,,,,,,,,,,,,,,,3329.62,
2020-01-18,,,,,,,,,,,,,,,222500.0,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,,,,,,,,,,,,,,,,,,,,,3320.79,
2020-01-22,,,,,,,,,,,,,,,,,,,,,3321.75,
2020-01-23,,,,,,,,,,,,,,,,,,,,,3325.54,
2020-01-24,,,,,,,,,,,,,,,,,,,,,3295.47,
2020-01-25,,,,,,,,,,,,,,,215500.0,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,3243.63,
2020-01-28,,,,,,,,,,,,,,,,,,,,,3276.24,
2020-01-29,,,,,,,,,,,,,,,,,,,,,3273.4,
2020-01-30,,,,,,,,,,,,,,,,,,,,,3283.66,
2020-01-31,,,,,,,,,,,,,,,,,,,,,3225.52,
2020-02-01,259.25,267.37,324.483,,136.0,1.58,1.5,15900.3,1237.0,28.54,,3.5,152293.0,63.3,211250.0,104.573,104.711,,101.0,1549.0,,24.03
2020-02-03,,,,,,,,,,,,,,,,,,,,,3248.92,
2020-02-04,,,,,,,,,,,,,,,,,,,,,3297.59,
2020-02-05,,,,,,,,,,,,,,,,,,,,,3334.69,
2020-02-06,,,,,,,,,,,,,,,,,,,,,3345.78,
2020-02-07,,,,,,,,,,,,,,,,,,,,,3327.71,
2020-02-08,,,,,,,,,,,,,,,210000.0,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,3352.09,
